player_count,avg_survival_time,survival_score,POI,Name
702,327.6587692307692,14,J,Airfield
194,417.2263917525773,100,A,Arsenal
241,352.17649792531125,37,G,Beachhead
156,312.3715384615385,0,N,Capital
105,376.68685714285715,61,B,Docks
825,315.4719418181818,2,K,Fields
64,403.713,87,I,Lagoon
318,351.9502641509434,37,E,Mines
565,336.77781238938053,23,F,Peak
120,389.1148,73,M,Power Plant
36,365.848,51,O,Resort
264,337.6308181818182,24,D,Ruins
104,315.01661538461536,2,C,Runway
110,312.3783272727273,0,L,Sub Pen
100,382.1568,66,H,Village
